지역,등록번호,학원명,학원종류,분야구분,학원주소,우편번호,등록상태,설립자,일시수용능력인원,정원합계,교습과정,교습과목,정원,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,총교습비(시간당),경도,위도
포항시,등1155,글마당학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 오천읍 문덕로24번길 22, , 2층 (오천읍)",37887,개원,박희진,30,58,보습,중등영어특강,2,0,0,0,0,0,0,0,190000,11400,129.4006184,35.96067863
포항시,2046,글셈아이학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 흥해읍 도음로877번길 8, , 학천베스트프라자 201호 (흥해읍)",791944,개원,김세연,30,90,보습,수학(초등),10,0,0,0,0,0,0,0,140000,9524,129.3304749,36.07937102
포항시,등356,김정희음악학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 양학로 109, , 2층 (득량동)",791806,개원,김정희,15,100,음악,피아노(초급),20,0,0,0,0,0,0,0,130000,5714,129.3441076,36.03115255
포항시,2703,김원석토플랩어학원,학교교과교습학원,국제화,"경상북도 포항시 남구 대이로1번길 16, , 3층 일부 (대잠동)",37685,개원,김원석,8,24,실용외국어(유아/초·중·고),영어초등1(외국인),4,0,0,0,0,0,0,0,0,0,129.3431987,36.015133
포항시,2286,김앤설학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 효성로 22-1, , 2층 (효자동)",37836,개원,김재원,32,27,보습,수학초등A,8,0,0,0,0,0,0,0,180000,9524,129.3361168,36.00622848
포항시,1974,김샘수학과학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 양덕로50번길 4-1, , 3층 (양덕동)",37592,개원,김경아,45,119,보습,"고등단과(과학,수학)E",10,0,0,0,0,0,0,0,0,0,129.4025555,36.08287727
포항시,등1199,김세진학원,학교교과교습학원,국제화,"경상북도 포항시 북구 양학로 80 , 2층 3층 (학잠동)",791200,개원,김국재,48,96,실용외국어(유아/초·중·고),영어(한국인전담1),48,0,0,0,0,0,0,0,150000,7500,129.3465412,36.02972505
포항시,91-19,김재완음악학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 오천읍 정몽주로 575-1, (오천읍, 김재완음악학원)",37909,개원,이영혜,15,67,음악,피아노(고급),16,0,0,0,0,0,0,0,160000,8000,129.4159354,35.96949062
포항시,2689,깊은생각수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 우창동로 96, , 302호(우현동)",37636,개원,박희정,22,70,보습,초등수학,20,0,0,0,0,0,0,0,0,0,129.3683162,36.058486
포항시,등1142,김훈사진학원,학교교과교습학원,기타(대),"경상북도 포항시 북구 칠성천길 37,   3층 4층 (용흥동)",791170,개원,김훈,10,40,사진,사진(입시반),20,0,0,0,0,0,0,0,250000,9868,129.3596706,36.03239369
포항시,2445,김재이음악학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 효성로43번길 3, , 3층 (효자동)",37836,개원,김재이,10,90,음악,피아노 중급B,15,0,0,0,0,0,0,0,0,0,129.3383879,36.00650252
