"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","기 타-남","기 타-여","기 타-합계","기 타-비율","합계-남","합계-여","합계"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000768","금오고등학교","04","공립","N","","105","116","221","98.7","1","2","3","1.3","0","0","0","0.0","0","0","0","0.0","106","118","224"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000769","금오공업고등학교","04","공립","N","","154","0","154","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","154","0","154"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000770","구미제일고등학교","04","사립","N","","96","117","213","98.6","2","0","2","0.9","0","1","1","0.5","0","0","0","0.0","98","118","216"
"경상북도교육청","경상북도교육청","경상북도 청도군","S150000771","금천고등학교","04","공립","N","","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","0","0"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000773","경북휴먼테크고등학교","04","사립","N","","63","3","66","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","63","3","66"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000774","포은고등학교","04","공립","N","","8","8","16","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","8","8","16"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000775","경북세무고등학교","04","공립","N","","17","16","33","97.1","0","1","1","2.9","0","0","0","0.0","0","0","0","0.0","17","17","34"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000776","길원여자고등학교","04","사립","N","","0","124","124","99.2","0","1","1","0.8","0","0","0","0.0","0","0","0","0.0","0","125","125"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000777","김천고등학교","04","사립","N","","247","0","247","96.5","1","0","1","0.4","0","0","0","0.0","8","0","8","3.1","256","0","256"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000778","김천생명과학고등학교","04","공립","N","","78","29","107","96.4","3","0","3","2.7","0","1","1","0.9","0","0","0","0.0","81","30","111"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000781","김천여자고등학교","04","공립","N","","0","129","129","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","129","129"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000782","김천예술고등학교","04","사립","N","","18","62","80","98.8","0","0","0","0.0","0","1","1","1.2","0","0","0","0.0","18","63","81"
"경상북도교육청","경상북도교육청","경상북도 김천시","S150000783","김천중앙고등학교","04","공립","N","","138","41","179","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","138","41","179"
"경상북도교육청","경상북도교육청","경상북도 고령군","S150000790","대가야고등학교","04","사립","N","","55","41","96","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","55","41","96"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000791","대구가톨릭대학교사범대학부속무학고등학교","04","사립","N","","212","0","212","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","212","0","212"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000793","대동고등학교","04","사립","N","","193","0","193","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","193","0","193"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000794","대영고등학교","04","사립","N","","88","0","88","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","88","0","88"
"경상북도교육청","경상북도교육청","경상북도 예천군","S150000797","대창고등학교","04","사립","N","","87","0","87","97.8","1","0","1","1.1","0","0","0","0.0","1","0","1","1.1","89","0","89"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000798","도개고등학교","04","사립","N","","59","60","119","96.0","1","2","3","2.4","0","2","2","1.6","0","0","0","0.0","60","64","124"
